# A,# B,# C,# D,# E
5901,2599,-51,-4379,4477
5773,3170,497,-5215,-7656
3195,3693,-88,-5694,998
3182,4332,-506,-5808,3289
1640,4695,343,-5919,-1317
495,4935,-12,-5973,4409
-614,4875,-43,-5381,5204
-399,4607,141,-4606,947
0,4196,-574,-3944,6053
-156,3939,494,-3217,4362
752,3533,72,-2595,1543
1177,3052,-494,-1979,6165
-924,2617,639,-1540,1796
-311,2169,149,-1250,1707
-322,1748,116,-728,4528
-4043,1325,141,-201,-781
-4070,804,648,222,2575
-4644,137,214,782,1197
-5941,-327,-27,1518,-1158
-840,-727,-221,2224,1487
3756,-1043,116,2870,-956
-2197,-1339,286,3511,-1089
5035,-1548,60,4155,402
6159,-1775,700,4702,-1519
688,-1862,-412,5049,-660
2235,-1939,311,5400,922
215,-2151,185,5628,-1335
-2639,-2350,765,5535,1430
-4012,-2567,67,5363,683
-5285,-2719,874,5168,-191
-3326,-2910,655,4838,1616
-4012,-3046,290,4395,417
-2361,-3434,218,3933,-1162
3038,-3717,295,3486,1617
2413,-3914,336,3021,-3853
4156,-4107,-494,2474,-270
7028,-4250,477,1961,-5952
4211,-4144,1118,1519,859
3357,-3710,388,978,-8290
2573,-3208,-48,421,-3753
1168,-2456,948,-34,-193
-177,-1862,238,-512,-12290
-799,-1336,586,-1007,5869
188,-843,247,-1472,-7339
-281,-224,583,-1920,-664
152,174,720,-2309,4696
1531,474,655,-2725,-1749
62,819,497,-3090,4263
-934,1159,506,-3441,5998
934,1695,578,-3946,1017
-2963,2356,173,-4519,6206
-3631,2958,712,-5248,4974
-4274,3420,768,-5556,1816
-6115,3963,789,-5588,5659
-3766,4388,125,-5638,4313
2986,4648,1300,-5522,-956
-154,4659,428,-4754,7747
653,4406,663,-3985,-2140
7756,3973,1145,-3303,2827
2325,3671,363,-2558,3286
1480,3369,660,-1886,-2944
1870,2906,895,-1296,3551
-1444,2442,161,-863,-796
-3659,1959,871,-507,-1247
-4817,1521,914,39,2106
-4326,1086,542,557,-1802
-3698,599,988,988,163
-3947,-70,785,1561,1525
783,-629,672,2306,-702
3329,-1052,660,2923,1336
2435,-1364,1092,3465,2409
6414,-1632,1275,4063,-814
6320,-1866,336,4597,3023
3105,-2078,792,4990,890
3432,-2186,1032,5216,-913
1921,-2180,610,5500,2562
604,-2287,595,5591,-2860
-914,-2446,339,5410,-1237
-155,-2613,785,5230,-2497
151,-2739,895,4979,-5370
-603,-2842,509,4581,762
1198,-2942,854,4124,-12972
1456,-3142,1519,3664,4718
-970,-3453,247,3204,-12314
521,-3730,821,2723,-1298
-47,-3897,833,2176,68
-3899,-4078,825,1708,-7369
-3476,-4215,262,1277,5043
-5162,-4190,1584,727,363
-6007,-3811,501,217,335
-1649,-3251,660,-191,7797
3328,-2533,614,-636,1518
-1653,-1889,453,-1075,5252
3796,-1404,372,-1488,5449
6884,-852,396,-1828,4178
1145,-268,214,-2141,2603
1831,240,533,-2455,7148
1140,506,1125,-2736,137
-2540,804,538,-2939,3686
-4367,1093,737,-3376,4364
-4922,1618,343,-3828,-2225
-3935,2230,919,-4488,5386
-4473,2787,639,-4897,-607
-2681,3240,785,-4948,-711
1890,3677,1272,-4992,3749
3300,4089,773,-4966,-3122
3710,4270,116,-4357,1888
6677,4245,571,-3577,415
6070,3900,-302,-2931,-1333
2799,3493,19,-2165,1689
2967,3156,1015,-1501,808
1765,2865,773,-881,-336
-251,2435,209,-408,3033
-1177,1984,715,-52,532
110,1489,542,413,740
-207,1048,96,916,2936
-338,629,753,1290,-547
1675,94,830,1760,244
1245,-526,559,2383,1497
-680,-1109,274,2934,-4561
723,-1503,963,3392,459
-133,-1814,-15,3855,-7024
-4152,-1984,290,4346,-76
-3522,-2180,1251,4709,-7741
-5223,-2301,206,4916,-6238
-6340,-2335,125,5128,257
-1759,-2283,660,5280,-13729
3345,-2303,247,5139,4993
-1698,-2405,806,4950,-7727
3518,-2503,857,4738,-1494
7147,-2614,36,4382,4399
895,-2642,209,3954,-2297
1591,-2726,384,3483,4790
1180,-2888,1157,3023,5207
-2761,-3094,566,2561,1718
-4736,-3345,144,2035,6412
-4695,-3540,137,1532,4542
-4136,-3657,984,1109,3059
-4583,-3772,408,620,4591
-2653,-3831,420,121,4674
2177,-3581,31,-254,61
3422,-3056,756,-626,5813
3493,-2430,420,-999,-505
7397,-1741,-31,-1320,2065
5775,-1191,550,-1614,2393
2765,-690,623,-1838,-1215
3381,-176,-100,-2058,1903
1312,345,948,-2290,243
-415,649,1015,-2460,-882
-882,829,315,-2678,1866
-311,1075,777,-3125,-768
-295,1404,295,-3533,468
-350,1928,-84,-4195,1445
1582,2435,651,-4527,204
1194,2871,348,-4557,1083
-635,3218,-19,-4613,2518
1209,3581,1474,-4493,-458
-466,3783,88,-3815,2824
-3698,3796,-221,-3125,424
-3530,3533,696,-2460,305
-5599,3100,324,-1716,538
-6256,2739,-156,-1125,-771
-2024,2423,643,-546,-2859
2935,2075,648,-123,-1038
-1716,1628,-64,158,-7501
3249,1186,907,562,701
6990,722,453,952,-9421
915,352,-437,1248,-5269
1600,-85,712,1681,-565
1428,-606,242,2181,-13567
-2913,-1152,513,2617,4749
-4490,-1548,-116,3026,-7697
-4659,-1779,250,3407,-1708
-4205,-1903,473,3831,4134
-4666,-1957,-19,4163,-2163
-2646,-2032,578,4325,4216
1701,-1998,120,4522,5028
3588,-1914,-230,4642,1884
3551,-1832,595,4480,5274
7203,-1865,598,4299,5296
6308,-1910,88,4053,2017
2460,-1995,636,3674,4598
3880,-2016,-194,3289,4474
1216,-2028,391,2798,-676
-606,-2140,24,2340,5739
-531,-2321,221,1909,-142
-776,-2512,360,1394,171
-406,-2739,295,910,4119
-265,-2954,298,539,-3185
1326,-3072,408,76,2381
1235,-3247,0,-324,505
-340,-3329,-76,-620,-2171
1037,-3140,64,-950,2884
0,-2665,185,-1221,-1180
-3393,-2153,307,-1441,257
-3131,-1552,-391,-1684,2242
-5454,-1065,165,-1812,-519
-6427,-649,39,-1982,1575
-2979,-192,-396,-2168,2288
2488,215,177,-2322,-325
-988,470,7,-2489,2415
1296,585,137,-2879,1434
7421,797,960,-3206,-1103
1480,1068,-473,-3768,2490
896,1552,-319,-4246,-2431
2140,1998,951,-4294,-1004
-2306,2401,-571,-4281,-1780
-4590,2732,-428,-4230,-5617
-4024,3065,614,-3747,-3191
-4279,3281,-465,-2986,-2597
-4647,3320,449,-2359,-11779
-2916,3135,-307,-1617,2745
995,2763,-278,-1051,-11830
3205,2489,1392,-502,-2740
3778,2239,-1742,-50,-273
5827,1977,39,175,-7618
7423,1605,76,442,3472
2924,1261,-1085,798,262
3057,885,627,1030,-305
2688,592,259,1302,5774
-1011,248,-590,1679,2557
-433,-182,586,2066,2689
-373,-613,-209,2427,5973
-1023,-940,-566,2717,3150
-18,-1107,623,3065,1871
1024,-1174,-214,3438,6550
1399,-1181,39,3595,-421
463,-1239,-120,3711,3109
530,-1207,-250,3890,2774
1068,-1129,156,3805,-1143
-2246,-1052,-639,3616,2992
-2990,-1079,96,3404,-806
-4367,-1155,336,3080,-60
-6202,-1247,-324,2744,838
-4803,-1312,-144,2319,-956
-469,-1339,-113,1878,289
2031,-1451,-384,1527,443
-1796,-1621,598,1099,-125
5316,-1821,-189,661,756
5095,-1994,-554,345,1556
-186,-2235,497,13,-14
2152,-2405,-108,-317,2340
376,-2592,348,-570,1045
-4339,-2745,-339,-801,762
-3548,-2763,-327,-972,2597
-4038,-2583,262,-1120,30
-4550,-2199,-144,-1310,975
-3595,-1744,-818,-1412,1001
-905,-1228,-259,-1488,-2067
2195,-804,-206,-1650,266
3906,-401,173,-1755,-3352
4290,-46,185,-1904,-3583
7038,276,-425,-2110,-4011
5406,481,156,-2452,-2578
2403,634,-168,-2782,-9709
3386,833,-489,-3318,-73
855,1096,113,-3701,-8372
-1283,1500,-209,-3749,-5147
-82,1891,7,-3747,445
-636,2269,-218,-3658,-7321
-879,2548,-1044,-3196,1589
704,2833,391,-2555,822
1527,3008,-545,-1979,-1669
957,3045,-348,-1360,4954
694,2902,590,-881,2005
1008,2638,400,-412,1756
186,2397,-1222,-92,5421
-2787,2185,-676,43,2254
-3038,1987,125,254,2046
-5028,1698,-672,473,5257
-6154,1402,-348,633,244
-3974,1090,-372,819,2286
1725,825,-286,1112,2983
-295,529,286,1414,-1584
-241,192,-1008,1705,2784
7087,-151,-201,1894,-215
2370,-412,-201,2143,-1608
360,-551,-830,2470,2225
2626,-595,129,2644,-2525
-1534,-590,-1080,2731,484
-4101,-620,-449,2903,663
-3192,-609,-428,2934,-1777
-4140,-572,-1118,2807,1866
-4290,-529,-542,2658,174
-2877,-572,-36,2437,169
332,-668,-116,2176,2288
3166,-777,-1198,1850,663
3205,-878,-180,1496,977
5694,-961,-39,1211,2914
7273,-1075,-756,913,-17
3086,-1240,-610,585,1947
3922,-1444,-60,338,1361
2480,-1609,-339,154,-715
-481,-1786,-724,-46,862
-528,-1959,-542,-204,-1351
-370,-2144,-526,-340,-2554
-831,-2280,-619,-446,-2030
-619,-2335,-441,-524,-5269
1210,-2283,-15,-651,-1370
1610,-2089,-1036,-742,-8514
713,-1799,-614,-789,-2052
1419,-1457,-715,-900,-5914
1136,-1075,-988,-1037,-6529
-202,-704,-43,-1153,71
-2256,-390,-1327,-1324,-6819
-3080,-122,-238,-1527,266
-5300,112,-477,-1789,35
-5763,313,-696,-2107,-1723
-4573,497,-324,-2447,3591
1037,720,-494,-2624,1139
-4,997,-400,-2671,1986
-1060,1334,-441,-2611,3731
7003,1675,-331,-2479,2377
2258,2014,-298,-2119,2182
265,2273,-715,-1706,3806
2948,2492,-1502,-1299,1481
-1643,2639,96,-945,1794
-3609,2649,-518,-652,2597
-2774,2574,-663,-420,-292
-4554,2433,-895,-287,1367
-3697,2284,-379,-196,467
-3175,2123,36,-94,-434
-2,1969,-874,13,-144
2065,1761,-194,121,-93
4211,1534,-348,253,-936
5300,1312,-480,441,-8
5811,1089,-724,665,112
5124,861,-768,842,-698
2979,602,420,1018,1427
2318,374,-578,1241,48
207,202,-700,1426,1242
-1056,133,230,1557,1714
-712,97,-586,1677,677
-824,78,-583,1764,2270
-633,45,-700,1725,1443
680,17,-84,1676,1244
1367,-4,509,1580,2190
1262,-52,-538,1441,382
1355,-147,-1130,1271,1067
1159,-292,324,1063,-73
639,-442,-168,876,-932
-1819,-588,-559,706,-1742
-2810,-722,-355,543,-3124
-4303,-899,-607,382,-4052
-6613,-1068,-141,250,-2292
-5641,-1259,-1154,148,-8592
-1783,-1434,-100,56,-1622
1289,-1594,996,-31,-7435
-2761,-1730,-1353,-100,-5722
4418,-1869,-672,-164,-1326
5034,-1969,185,-249,-7110
-563,-2008,-372,-334,-39
2767,-1987,485,-413,-1241
797,-1898,-360,-502,-1750
-3530,-1757,-874,-620,2548
-2442,-1529,-96,-767,815
-3748,-1264,-339,-913,1398
-4340,-961,-177,-1076,3620
-3551,-662,-221,-1266,1875
-1701,-386,-226,-1502,2175
1803,-105,-7,-1749,3867
2535,178,610,-2002,1057
3870,467,-1519,-2172,2313
6943,759,-214,-2227,2332
4397,1083,331,-2195,-259
3739,1391,-768,-2104,1666
3582,1712,-655,-1886,225
165,2014,-648,-1594,-944
-127,2280,302,-1311,866
-882,2492,-806,-1061,-1606
-1012,2631,-262,-864,-603
-935,2701,343,-723,55
-312,2701,-337,-610,-1799
1402,2649,-714,-553,654
933,2548,-260,-499,-300
1325,2401,120,-423,-105
2187,2221,-1219,-329,1661
421,2037,-845,-241,559
130,1814,223,-106,1430
-1780,1595,379,56,2491
-3941,1372,-1003,214,1160
-5150,1142,397,365,2629
-6520,933,-648,535,2314
-5866,749,-550,706,1283
-784,585,-961,847,2332
-75,456,376,963,784
-2050,358,-289,1064,-159
5609,276,-580,1125,462
2767,213,-334,1134,-2888
669,143,-664,1099,-2198
2956,63,-553,1042,-4422
-424,-17,-177,956,-3948
-2488,-123,709,846,-5698
-2505,-240,-672,723,-6799
-4128,-365,477,614,-3566
-3710,-508,-752,525,-9308
-3653,-662,-168,441,-1947
-1177,-811,-40,361,-5897
1310,-958,-792,312,-3828
3067,-1093,-1367,266,106
5426,-1233,-195,221,-2740
4981,-1361,-432,162,1160
5526,-1473,-590,118,2108
4200,-1552,-60,50,487
1810,-1602,-99,-26,3923
917,-1632,-533,-147,2563
-249,-1616,465,-238,2485
-1636,-1569,518,-376,3784
-1194,-1482,-753,-500,2756
-717,-1352,304,-689,1718
-297,-1188,-661,-813,3406
722,-982,-847,-1008,483
1427,-742,-675,-1145,1404
2062,-474,-22,-1368,857
1441,-178,-211,-1461,-652
1117,143,-904,-1668,-597
735,467,194,-1646,568
-2152,800,-498,-1737,-3002
-3439,1122,-170,-1544,86
-5212,1437,-428,-1580,-730
-7183,1739,19,-1155,-2989
-6371,2016,381,-1310,2387
-3284,2252,-643,324,-2239
581,2460,-192,578,1055
-2551,2628,-10,-473,2380
3181,2742,94,340,-434
4941,2801,-1443,-221,3862
353,2808,-188,-48,1985
2817,2764,37,-35,1894
1412,2662,-58,146,4156
-2094,2519,-1109,-36,1685
-2161,2343,138,-325,2342
-3403,2144,724,-112,2810
-4029,1931,-1419,282,-228
-3713,1716,-4,-221,947
-2499,1510,1115,228,-707
943,1312,103,769,-3256
2203,1125,-1329,706,-2215
4349,950,-349,581,-5662
5832,794,146,1170,-5639
5050,649,-673,938,-4058
4926,518,-655,1213,-10570
2380,397,355,966,-2709
1450,286,-162,1811,-9349
-117,185,-982,1426,-5806
-1684,74,117,1840,-2952
-1339,-15,569,1231,-6778
-1127,-115,-471,1200,-383
-1014,-224,-342,1128,-1149
594,-335,616,918,-1027
1245,-449,-718,1109,3152
1669,-568,-408,1083,1581
2318,-686,-42,379,2780
1323,-794,-538,1395,4337
980,-902,-296,1287,3264
-481,-1002,-313,110,3194
-3271,-1072,22,1020,4897
-4231,-1122,-94,-241,1835
-6347,-1152,-293,-938,3166
-7612,-1173,-301,-881,2693
-6513,-1174,-102,-2078,84
-1156,-1138,-13,-2021,1753
-757,-1090,-406,-2849,-310
-1870,-1004,79,-2692,-1105
5477,-892,-146,-2416,-250
3139,-755,-105,-3260,-2014
1095,-585,-248,-3018,-1649
3376,-390,45,-1706,-1212
511,-167,-141,-2298,-1797
-1998,63,-474,-1515,-1096
-2380,320,123,-394,161
-3386,579,275,-404,-651
-3999,845,-535,141,1601
-3746,1109,-516,738,1519
-1258,1358,-31,847,1683
1725,1595,-78,1460,3611
2272,1814,-783,912,2316
4390,2002,-598,1302,3380
6766,2162,91,1348,3585
4253,2287,-156,923,2168
3826,2356,-180,1087,3133
3131,2401,-58,1049,1506
203,2394,266,1032,704
-627,2342,-105,869,351
-1277,2269,-556,1078,-1608
-1841,2160,-259,1341,-2212
-1101,2037,-391,1097,-3512
-652,1880,-274,1285,-5004
1004,1712,96,1726,-5958
1347,1543,164,1323,-6075
2046,1372,-45,1113,-5983
2900,1195,-642,1563,-9667
919,1023,-723,908,-3067
1066,852,-331,744,-9844
-296,686,-150,862,-4029
-3912,526,-319,1155,-2941
-4211,374,-596,54,-6014
-6313,233,-289,681,1764
-7865,94,140,250,-963
-7116,-24,-563,-398,551
-2960,-136,-391,-499,4987
422,-244,337,-601,1617
-2296,-341,-40,-1177,4539
3631,-433,-298,-1879,5337
5563,-536,-149,-2377,3018
764,-620,6,-2897,4832
3515,-704,-298,-4070,4592
2575,-777,-388,-2850,1688
-1956,-859,-435,-2821,4018
-1898,-925,84,-5524,1423
-2599,-988,-84,-1896,263
-4176,-1034,-432,-2679,1524
-3820,-1072,-55,-3536,-1499
-2312,-1079,125,-705,-1207
1874,-1082,-400,-226,-797
1345,-1070,-82,-304,-2759
3582,-1038,-6,1689,-562
7462,-984,132,1528,-3070
4070,-909,-103,2792,292
4133,-801,-197,2124,-1996
4154,-682,189,2099,1039
671,-540,375,3636,837
-415,-393,113,1393,1043
-890,-213,-373,1605,3679
-1799,-22,-79,2902,1821
-1544,167,156,1171,4327
-653,369,-411,639,3324
665,577,-132,1874,3159
1132,774,354,1121,4081
2131,965,-212,436,1986
2896,1129,-278,852,2995
1434,1288,435,1626,1136
979,1418,224,407,739
390,1518,-99,242,-373
-2890,1600,78,1725,-1418
-4027,1642,394,427,-2504
-5287,1625,348,-31,-3487
-7613,1625,-333,1453,-4785
-7565,1585,275,246,-5465
-5916,1526,271,46,-7145
-1073,1429,-253,583,-5412
-213,1332,-238,286,-7410
-914,1229,135,-486,-8327
6071,1105,211,-525,-2907
3832,965,-340,-460,-10156
1582,837,-191,-1277,-1194
4707,695,658,-2847,-4125
674,555,48,-2082,-3501
-1953,416,-458,-3266,2652
-1361,279,302,-5485,-585
-3476,159,565,-3664,2562
-4168,33,-51,-2707,5503
-3256,-77,-298,-7912,2229
-880,-178,452,-2753,5973
1874,-276,307,-2745,5355
1727,-361,-370,-5035,3510
5467,-442,-201,-1220,5507
6542,-522,422,-52,4156
3755,-591,-24,-296,1768
4903,-656,-643,1722,4248
3104,-717,85,2497,440
98,-775,406,4358,767
-168,-828,-241,2503,1102
-1119,-878,-260,3864,-1869
-1639,-918,253,5674,-629
-1171,-950,78,2160,-1229
-165,-966,-262,3365,-1967
956,-976,78,5413,-950
1283,-964,257,1020,-1832
2437,-951,-48,2383,106
2488,-894,-76,3231,-1194
1132,-869,340,844,1955
1213,-823,324,1158,481
-433,-752,143,1329,2711
-3009,-689,479,1270,3232
-3623,-609,412,72,2629
-5927,-521,284,358,4917
-7227,-415,339,1608,2963
-7311,-316,557,-709,4267
-6728,-210,574,184,3750
-617,-92,340,1405,2528
-267,11,452,-755,3398
-582,116,660,122,1322
6108,228,372,674,1409
4166,317,198,-1058,178
2617,405,627,-971,-825
4846,481,473,-1188,-1490
1367,540,135,-1816,-2661
-1110,585,444,-3553,-3535
-1305,620,429,-3612,-4415
-3076,642,42,-4646,-5272
-3977,646,-42,-4951,-6351
-3485,640,-16,-3135,-5854
-613,621,-3,-8204,-5091
1049,590,-387,-2310,-9178
1732,548,-425,-4440,-1679
5747,497,-342,-5408,-8273
5916,437,-639,-134,-2788
4605,368,-654,-1416,-693
5618,291,-613,-958,-4190
3124,218,-461,3031,3649
937,134,-598,1677,1518
544,60,-768,3531,2453
-1046,-17,-316,3115,7097
-1533,-96,-333,4361,3832
-1104,-170,-467,4444,6157
-190,-243,27,2029,7059
319,-310,245,5245,4509
1299,-364,387,3738,5686
2275,-420,731,1667,5676
2147,-470,1133,4253,2067
2020,-511,1523,2347,4340
1396,-561,1611,1780,1787
372,-607,2040,2323,183
-1201,-646,2417,1979,1734
-2765,-679,2450,1376,-1367
-4451,-720,2584,637,-1335
-6363,-748,2740,1793,-550
-6833,-772,2574,906,-2825
-7478,-793,2404,-543,-329
-5422,-808,2111,1733,-2392
-681,-830,1865,168,-270
338,-830,1219,-321,-423
511,-837,183,1248,510
6223,-834,-274,-181,1961
4823,-819,-423,-661,1933
3211,-804,-2287,-699,3783
4925,-778,-2797,-901,3569
1504,-744,-3658,-2497,4802
-806,-705,-4731,-3602,4519
-1319,-654,-6496,-3347,4589
-3080,-598,-5703,-5160,4809
-3960,-541,-3501,-2322,3559
-2903,-478,-5287,-8533,4068
-1281,-415,-3882,-2351,2524
1425,-347,-235,-4252,2084
2515,-279,-209,-6476,1382
5304,-218,910,-42,-371
6180,-152,4250,-1713,-269
4878,-85,4975,-1892,-2111
5750,-28,5453,3299,-2687
2918,26,6530,1492,-3493
1181,68,7284,2926,-4750
677,104,6013,3214,-5252
-1312,137,4523,4455,-5794
-1553,151,4794,3793,-6791
-1139,167,3116,1941,-3566
-588,169,1124,5323,-8940
59,159,1575,2687,-2412
1062,147,776,1144,-4892
2206,123,-304,5191,-4886
2191,99,241,320,2020
2089,64,792,2033,-3357
2041,22,735,2694,3257
488,-16,581,579,4171
-311,-63,673,1407,2586
-2302,-115,-126,985,7681
-3900,-162,-1309,1099,5854
-5694,-211,-1440,433,5635
-6724,-258,-4447,163,7875
-7321,-309,-4675,1461,5121
-6743,-352,-3327,-881,4785
-3261,-393,-5207,809,5739
1095,-429,-5671,912,2045
58,-471,-2857,-970,2778
3637,-495,-2278,673,2181
7089,-539,-1673,-546,-847
3778,-552,1614,-1486,910
4909,-588,3724,-1029,-1077
3857,-601,4129,-2984,-2178
449,-639,5531,-3604,-556
-854,-639,6933,-3604,-2723
-2211,-673,5721,-1891,-1450
-3730,-658,4411,-8450,251
-3737,-700,5288,-1049,-3297
-2772,-668,3157,-4540,2891
537,-711,176,-5740,-1011
960,-656,1632,81,2181
3756,-709,203,-1584,4048
6962,-616,-2031,-1410,1667
4323,-691,-286,3026,5970
6584,-187,-36,2290,4468
4470,-495,-311,2802,4722
1863,356,952,3383,6255
1639,-143,2550,5582,4377
-824,4,2505,3075,4597
-1700,239,2079,3035,4730
-1842,-193,2839,6006,2649
-1677,602,1317,1787,2709
-617,828,-1213,2774,2402
-430,288,-1169,4448,-573
1518,259,-3312,405,1118
2329,679,-6331,2371,-1606
1884,448,-4630,1837,-2076
2999,624,-5190,688,-1671
1866,96,-7932,341,-4121
459,299,-3950,868,-3436
-34,352,-2307,218,-3971
-2724,533,-2565,-898,-5648
-4121,352,1620,408,-3964
-5699,671,4221,-316,-5939
-7031,906,4511,-1517,-2727
-7039,174,5879,483,-6466
-6962,306,6987,-624,-1933
-4066,495,6212,-1488,-3058
1040,1038,3789,142,-3551
887,81,4788,-1742,2493
2614,31,3352,-1696,-2292
7950,-125,-1251,-2100,3554
4933,603,1080,-2852,3737
4621,202,-384,-4735,2282
5266,-464,-3415,-1358,6585
1171,-295,-506,-5417,3957
-1001,86,-696,-5575,4313
-1711,-275,-856,-834,5352
-3891,-676,1275,-6641,2727
-4425,-247,2312,-2057,2904
-3473,-445,2764,-618,2879
-648,-352,2199,-1842,326
786,-924,2719,804,1021
1977,-515,978,2879,361
7048,-365,-1597,2496,-1458
4999,-517,-1345,2963,11
5077,-858,-4140,4886,-1311
6580,-365,-6291,4871,-1944
1851,-228,-3029,2673,-235
953,-616,-8036,5845,-2266
273,-404,-6342,4298,-884
-2809,-187,-1917,2099,-477
-2858,-24,-4728,5413,-379
-2400,-345,-324,2841,-259
-1578,-27,3374,1101,1496
-1156,-5,2533,4265,920
497,281,5634,955,1775
2862,-64,6160,604,4068
1871,145,5736,1940,1468
3075,407,4631,304,5406
3486,229,3211,-723,3485
732,48,3576,540,3674
655,288,651,-266,5459
-591,346,-1020,-1933,2229
-3790,39,188,-183,4160
-4669,104,-2337,-618,2654
-6047,46,-2461,-2647,1234
-6946,88,-346,-412,2346
-7936,-200,-961,-1718,-29
-6426,-257,91,-3308,-39
-3448,-396,2185,-1927,-158
614,-467,2895,-3247,-2007
2038,-913,2679,-5580,-1496
3269,-1096,3245,-1970,-2122
8446,-1218,2723,-4750,-3604
5372,-1463,-247,-7052,-2422
4917,-1931,-1244,-1003,-4247
5599,-2057,-2351,-6533,-4141
374,-2202,-5429,-3528,-4090
-1209,-2734,-6906,-1093,-5352
-2175,-2819,-4084,-2082,-4725
-5026,-2628,-8818,-633,-3231
-5345,-2163,-7103,2363,-7308
-3934,-1680,-1936,2178,-1515
-2424,-2208,-4800,1981,-4949
809,-617,-497,4605,-3800
2040,46,4405,4648,756
5410,-75,3019,2429,-3740
6218,969,5905,5886,1994
4340,2423,7649,4445,1639
5977,1874,5924,2663,505
2031,2547,4805,5572,4377
216,3313,4042,3463,2256
-675,2833,3089,2244,2138
-3187,2611,206,4241,3992
-3668,2423,-1116,2405,1308
-2841,2107,-533,1241,1677
-2235,1724,-3266,2361,2629
-867,938,-2643,1358,-367
592,462,-884,-292,1308
2655,861,-1840,937,811
3088,-152,143,19,-1228
3412,-448,1856,-1571,1155
3918,-50,2190,-191,-986
1879,-506,2913,-988,-1067
1206,-969,3129,-2194,218
117,-700,2046,-1041,-1958
-2179,-873,-283,-1985,-840
-3970,-1217,-1596,-3187,-727
-4525,-1665,-3183,-2425,-1671
-6350,-1673,-5851,-3549,465
-6519,-1955,-6877,-5114,-1332
-7369,-3218,-4728,-2882,1039
-5627,-3537,-9929,-4336,622
-3562,-4706,-6071,-7093,1324
1507,-3039,-2779,-1456,2974
2659,-1631,-5617,-6310,2157
2753,-7545,792,-3951,4184
8559,-466,3807,-1208,3510
4947,-830,2399,-2694,4181
4218,-3768,6904,-896,3992
4723,-246,7126,1878,3471
-311,3965,5023,1310,3292
-1970,-1468,4916,1606,2294
-2945,3241,3799,4126,2032
-5752,4141,1428,3478,734
-5694,1603,42,2343,518
-4775,3142,-27,5256,-762
-2957,3090,-2649,3591,-1263
-72,1672,-2572,2425,-1986
1008,2541,-1038,5293,-2831
4662,1596,-2838,3117,-3257
5407,499,-287,1647,-3932
3540,2437,1113,5160,-4466
5367,-77,767,1369,-4610
2200,678,2936,1766,-5501
-74,2202,3712,3123,-5146
-435,585,2274,695,-6274
-2592,636,2098,521,-5648
-3432,2819,357,1760,-6263
-2694,856,-2330,-456,-4662
-1835,1684,-4624,-627,-7176
-521,1873,-4866,374,-3415
518,1459,-8503,-1343,-5001
2732,910,-6651,-1792,-4171
3444,1020,-8613,-506,-284
3448,327,-8654,-2879,-3355
4431,-79,-4003,-2819,1402
3126,-2134,-5177,-2392,1209
1852,-1144,-1284,-4553,696
1555,-3356,3049,-4747,3824
-411,-4062,2435,-2414,1958
-2293,-5911,6209,-6504,2384
-3421,-2783,6791,-5019,3393
-4538,-3631,5317,-2456,1339
-6080,-8681,5518,-6871,1961
-6147,111,3480,-2288,2014
-7554,-3305,1804,-1846,-19
-5600,-4731,575,-2620,1150
-4509,389,-348,162,125
216,2349,-1885,1975,-992
3304,-2760,-2978,761,193
-62,4837,-970,2574,-1447
7772,2565,-2993,4365,-1427
5124,2358,-976,2239,-821
1733,3378,1119,3620,-2216
4660,3504,-13,5190,-1360
-283,2805,2455,2222,-1276
-3075,2851,3707,4004,-1994
-2706,1415,1900,4439,-117
-5952,3958,2477,2488,-81
-6109,191,678,2937,-1115
-5523,1104,-1709,3984,3100
-3880,3041,-4612,1556,-168
-1425,137,-4678,1805,3160
789,376,-7531,3212,3960
2740,3316,-8515,-229,1604
5494,-174,-7091,1352,5960
3938,1265,-10247,1358,2838
5015,2401,-5909,-1233,3537
3732,700,-4818,375,4513
915,1089,-4173,-353,1018
980,1111,1466,-1862,2632
-1353,767,1995,-1057,868
-2206,493,3789,-1502,-999
-1864,-1191,6686,-3183,-11
-1791,-767,4928,-2489,-2362
-626,-1255,5316,-3293,-3103
697,-4640,4116,-5020,-2338
2136,-2957,2214,-3482,-5043
3027,-4947,1213,-3948,-3925
4404,-1138,296,-6835,-4365
4662,-8694,-693,-2823,-5834
4319,-1317,-2414,-5185,-3932
3752,-1770,-1039,-5149,-5478
2928,-5399,-1724,-1507,-4957
1113,-607,-1873,-3122,-4124
30,2992,1068,-1410,-5282
-1789,-3393,76,1007,-4242
-3653,3636,1342,927,-4201
-4263,4120,3273,1159,-4838
-5383,620,2039,3689,-3156
-6628,3765,1939,2879,-3736
-6435,3998,1311,2454,-4146
-8116,2312,-1383,5004,-657
-5403,2489,-3364,3213,-3884
-4082,2796,-5412,3160,490
1357,3178,-5665,4863,-213
213,976,-8870,3322,35
1155,1603,-6925,2973,2808
6999,3602,-9227,4180,1493
1511,255,-7943,3113,2311
2367,1338,-4541,1689,3390
3705,3673,-5187,3785,1576
-2316,328,-529,1382,2531
-1973,1350,2265,913,2136
-2716,3142,2375,2435,821
-5760,640,6350,-235,1531
-5196,993,5655,48,909
-4314,1617,5139,672,-281
-2947,812,5386,-1405,1118
-443,-687,3225,-1142,-538
937,500,1909,-912,-24
4381,-1123,1098,-2843,402
4877,-2291,281,-2731,-777
4547,-2559,-1504,-2782,234
6137,-2657,-1829,-4936,-112
